#,題名,親チケット,説明
6279,詳細画面に通知を確認完了するための確認ボタンがある,"","申請者・差戻しの通知
　　　・承認完了の通知

承認者・承認済（申請取消）の通知
　　　・不在の通知

通知者・承認の通知"
6282,データ補正が管理者で実行できる,"",""
6296,代理承認者を社員ごとに設定することができる,"","基本的に代理承認者は不要。
ただし最終承認者が休みの場合、代理承認者をつけることで対応する"
6300,Top画面に条件を入力後の検索ボタンを用意し、過去分のレコードも確認できるようにする,"",""
6208,【技術関連】開発環境構築手順作成,"","h1. 想定環境

* Python3.8
** Python仮想環境は？
*** Virtualenv
*** Pipenv
*** Conda
* PyCharm Community
* docker
* PostgreSQL
* A5:SQL
* Git
* GitExtensions
"
6209,【技術関連】開発用DBコンテナ準備,"","h1. 環境想定

* docker + PostgreSQL
* データファイル自動投入
* ソースコードとして管理
* 利用方法はmarkdownで記載"
6260,申請者はTOP画面から２クリックで申請した分の状況を確認することができる,"",①申請中の件数をクリック⇒②表示された確認したいレコードをクリック
6272,新規作成時の詳細画面には下書き保存ボタンがある,"","一時保存ができる
一時保存した場合はTop画面の下書きに件数が加算される"
6280,社内申請以外に機能を追加していくことができる。,"",機能追加の手順を確認
6310,申請の最終承認完了後も添付ファイルを追加することができる　9月2日プロジェクトで確認するまで保留,"",ただし、既存の添付ファイルの変更、削除は不可とする
6311,見積外　添付ファイルの押印申請をすることができる　9月2日にプロジェクトで確認予定,"","押印申請を承認されることで押印請求簿ファイルが作成される
押印申請時に必要な印鑑を選択することができる

※押印申請が必要なものがあるか（この機能が必要か）プロジェクトへ確認が必要"
6317,承認者は承認画面で申請内容を否認することができる,"","『差戻しますか？』ポップアップ画面が表示される
否認ボタン押下で申請者のTOP画面の差戻し件数が追加される"
6261,申請者はTOP画面から２クリックで差戻しされたものを確認することができる,"",①差戻しの件数をクリック⇒②表示された確認したいレコードをクリック
6273,下書き保存したものを編集するときは、削除ボタンがあり削除することができる,"",一時保存していた下書きを物理的削除することができる
6281,AWSのデータ退避ができる,"",テーブルが巨大化したときと、添付ファイルについても同様
6284,AWSの環境構築方法を覚える,"",Redmineの社内ネットワークでのクラウド化で、事務部門での利用を検討できる
6315,承認者の詳細画面にコメントボタンを表示する,"","承認者はコメントを入力することができる
申請者や他の承認者のコメントを確認することができる
部署名役職名氏名等が記載されていて誰か記入したか確認できる
再申請などで前回の記入のコメントも確認することができる
コメントボタン横に有・無表示がある"
6283,ミドルウェア・ソフトウェア・OS等、使用しているソフトウェアのアップデートとセキュリティ対策および動作検証方法,"",アップデート時の動作検証方法
6210,【技術関連】Django関連利用ライブラリの整理,"","* ""Django REST"":https://www.django-rest-framework.org/
* ""Django concurrency"":https://django-concurrency.readthedocs.io/
* ""Vue.js"":https://jp.vuejs.org/
* ""Bootstrap"":https://getbootstrap.com/

導入するバージョンを含め開発標準資料に記載する。"
6211,【技術関連】Git運用ルール整理,"","""Git-Flow"":https://nvie.com/posts/a-successful-git-branching-model/ を少しカスタマイズして採用する予定。

h2. 検討項目

* 利用ブランチ
** main
** develop
** feature
** hot-fix
* コミットコメントルール
* バージョニングルール（タグ名）

手順を作成する。"
6252,TOP画面に管理者からのお知らせ通知を表示する,"",""
6255,TOP画面にログイン者氏名が表示されている,"",""
6262,申請者はTOP画面から２クリックで下書きを呼び出すことができる,"",①下書きの件数をクリック⇒②表示された確認したいレコードをクリック
6287,アジャイル開発型での開発手順を把握する,"","今後、社内でアプリの追加や機能追加をおこなうさいの標準モデルとして利用する

マイグレーションが必要な場合のバックアップ方法と手順
テスト環境と本番環境のデプロイやデータ移行方法"
6212,【技術関連】ログ出力方針,"","* 出力内容
* ログレベル
* 出力先ファイル（パスとファイル名）
* 出力タイミング
* イベントの前後は自動出力

インフラとして出力するログはある？"
6229,ログインするときには、IDとPASSで認証をする,"","IDとパスが合致しないときは、エラーとする
IDは社員番号7桁
PASSは、8桁以上　英数字記号の３種類以上使用

ログインできたらTop画面へ遷移すること
パスワードは、ハッシュ値で持ち管理者でも把握できないようにする"
6239,管理組合マスタやその他BiシステムからCSVで出力したのものを取り込みできるようにする。,"","理想は、APIかBiシステムが更新の時、CSVを自動転送し、自動で取込みする。
チョー理想"
6241,社員は複数の部署や課に所属することができる。,"","事業部-部-課-グループ
部署-課-グループ
という事業部に所属する部署と、事業部に所属しない部があり。

社員所属と主管部署で使用する"
6258,ログイン者が承認者の場合、自分が関係するものをTOP画面で確認することができる,"","・未承認・・・ログイン者で承認待ちになっている件数が表示されている
・未承認（順番待ち）・・・ログイン者が承認すべき件数が表示されているがまだ承認する順番にきていない件数が表示されている
・承認済（未完了分）・・・ログイン者が承認したもので最終承認完了まで至っていない件数が表示されている
・承認済（申請取消）・・・ログイン者が承認したレコードが申請者によって申請取消が行われた件数が表示されている
・不在通知・・・ログイン者の承認予定レコードがスキップされた件数が表示されている
"
6259,ログイン者が通知者に該当の場合、その通知をTOP画面で確認することができる,"",・承認通知・・・ログイン者が承認通知対象者に設定されている場合、最終承認されたら件数を表示される
6274,申請者が申請したら申請取消ボタンを表示させる,"","・最終承認者が承認するまでの間、申請者は申請取消ボタンで申請を取り消すことができる
・申請取消すると再度申請することができるようになる
・申請者は再編集できるようになる
・申請取消するとそれまでに承認していた承認者に取消の通知をする
"
6285,同一申請マスタの申請内容部分で、項目が追加になったり削除になっても過去分が正しく表示させることできる,"",""
6288,社内申請と外部システムとの連携,"","他のシステムからデータを受け取り承認後、また承認データを戻すなんてできたら最高

想いを書きました"
6291,承認後は、添付されているファイルは削除および変更ができないようにする,"","申請内容については、現在、承認者で訂正印で修正していることも多数ある。
承認時にロックすることが本当にいいのか検討が必要"
6298,承認は、前承認者が承認していなくても承認ができ、間の人は不在として通知がされる,"","最終承認者までスキップすることができる
承認者　A承認済み⇒B現在承認者⇒C次承認者⇒D最終承認者　この状態で最終承認者が承認した場合は、Cは不在通知で処理し、最終承認がされている状態とする。

飛び越した承認者のTOP画面に不在通知の件数を加える"
6370,TOP画面で関係する申請のコメントがあることを知らせる,"","* 表示形式 : 「コメント 3」など未読のコメントがある申請の数を表示する
* 詳細画面のコメントを開くことで既読とします。"
6366,開発標準資料に実装方法を記載,6207,""
6207,【技術関連】Vue.jsの使い方まとめ,"","* Vue.jsとdjangoを組み合わせるサンプルを作成
* 開発標準資料に実装方法を記載"
6365,Vue.jsとdjangoを組み合わせるサンプルを作成,6207,""
6217,【技術関連】インフラ構成検討,"","利用するAWSサービスと構成を作成する。
"
6369,申請項目マスタより雛形として表示する,6306,""
6368,申請項目をマスタ管理する,6306,"* CRUD管理できること
* 項目によっては選択肢が管理できること（プルダウン表示）"
6306,詳細画面で新規作成時、申請内容を登録したら雛形が表示される,"","・申請情報欄の申請内容を選択するまでは空白である
・雛形が表示されたら記入例が表示されている
・金額入力欄や金額表示されているものはカンマ表示されるようになっている
・添付ファイルをアップロードすることができる⇒データ量どのくらいまで？
　　　　　　　　　　　　　　　　　　　　　　　申請するまでの間、編集することができる（削除や追加）
　　　　　　　　　　　　　　　　　　　　　　　"
